study,family,centroid
Italy,Sphingobacteriaceae,1.9018097057742933
Italy,Sphingomonadaceae,1.5174926146878038
Italy,Spirochaetaceae,0.08612579966355205
Italy,Spirosomataceae,-0.27498449724123164
Italy,Staphylococcaceae,3.332854114695433
Italy,Streptococcaceae,5.088730507364617
Italy,Streptomycetaceae,-1.142384187262755
Italy,Succinivibrionaceae,0.6997070411061634
Italy,Sutterellaceae,-0.9733344535455231
Italy,Synergistaceae,-1.3582585929395705
Italy,Tannerellaceae,-1.1804911898650998
Italy,Thermoactinomycetaceae,-1.2300111250664936
Italy,Thermomonosporaceae,-1.1865592327153132
Italy,Trueperaceae,-1.0207035194927325
Italy,UCG-010,1.4997337579945493
Italy,UCG-011,-1.3582585929395705
Italy,Unclassified_Absconditabacteriales (SR1),-1.22285608288446
Italy,Unclassified_Alphaproteobacteria,-0.9931000903777304
Italy,Unclassified_Bacilli,-1.3582585929395705
Italy,Unclassified_Bacillota,-1.3033279785061649
Italy,Unclassified_Bacteria,3.5534702290104936
Italy,Unclassified_Bacteroidales,-0.11567056572370668
Italy,Unclassified_Bacteroidetes VC2.1 Bac22,-1.3582585929395705
Italy,Unclassified_Bacteroidia,-0.8814529573808155
Italy,Unclassified_Bradymonadales,-0.47122536132402576
Italy,Unclassified_Clostridia,-0.8576975803226199
Italy,Unclassified_Clostridia UCG-014,0.7192296450133184
Italy,Unclassified_Clostridia vadinBB60 group,-0.018948831204234858
Italy,Unclassified_Coriobacteriales,-1.3582585929395705
Italy,Unclassified_Gammaproteobacteria,-1.091622653276302
Italy,Unclassified_Izemoplasmatales,-1.0156993465648834
Italy,Unclassified_Microtrichales,-1.3582585929395705
Italy,Unclassified_Oscillospirales,-0.9863100133197773
Italy,Unclassified_Pseudomonadales,-1.2300111250664936
Italy,Unclassified_Pseudomonadota,0.863875301920891
Italy,Unclassified_RF39,-0.747836351455809
Italy,Unclassified_Rhodospirillales,-0.9058381176980723
Italy,Unclassified_Saccharimonadales,-0.8608235981716866
Italy,Unclassified_Veillonellales-Selenomonadales,-1.3582585929395705
Italy,Unclassified_WCHB1-41,-0.7969464482969939
Italy,Veillonellaceae,-0.5550204474449999
Italy,Weeksellaceae,2.1190388365153816
Italy,Wohlfahrtiimonadaceae,-1.3582585929395705
Italy,Xanthobacteraceae,-1.3582585929395705
Manitoba,[Eubacterium] coprostanoligenes group,2.218133156821998
