study,trajectories,cows,mean_resistance,sd_resistance,median_resistance,IQR_resistance,mean_displacement
Italy,20,5,0.554549773239293,0.13841957345963732,0.5897953427877609,0.19516596419306537,0.445450226760707
Manitoba,29,9,0.4476974171533637,0.14401019553638125,0.4422753281723325,0.16397066884259837,0.5523025828466364
