trajectory_global,PC1,PC2,z_PC1,z_PC2
Italy__270_FL,-0.9622986054187703,1.5754161297986955,-0.23804028875486427,0.40548156477801345
Italy__270_FR,-2.7701169797367053,-5.72160977148398,-0.6852337123094159,-1.4726314142073327
Italy__270_RL,-0.9903374230094951,-6.030935132513124,-0.24497614857847544,-1.552245764373754
Italy__270_RR,-2.479742865780407,-6.200705579861744,-0.613404929077401,-1.5959413857031977
Italy__321_FL,-0.6940054510891368,-0.8906342587880498,-0.17167359179827155,-0.22923198897578245
Italy__321_FR,0.7103412048734256,5.919826691130445,0.1757145075035876,1.5236486059343188
Italy__321_RL,-0.0771361873749748,-4.488708330645693,-0.01908089673287825,-1.155306489070217
Italy__321_RR,1.3156255659110632,0.4833916847616196,0.325441487537505,0.12441564678080783
Italy__355_FL,-3.6163541868603963,-7.181916628614431,-0.8945643171804184,-1.8484860841483974
Italy__355_FR,0.5679320532901166,-1.4769038202533404,0.14048727619166654,-0.38012640643680057
Italy__355_RL,-0.2772139382585243,-2.3923294176367325,-0.06857339867100372,-0.6157392052674786
Italy__355_RR,-0.7871463508514933,-0.7701187909135911,-0.19471351573609205,-0.19821364431789576
Italy__365_FL,3.3498767719480913,5.876600900782761,0.8286467730468378,1.5125231256390366
Italy__365_FR,1.5182982607973377,3.9654495020097227,0.37557589128888574,1.0206298124728188
Italy__365_RL,-1.3058591727505604,-4.430705135503814,-0.32302561055823004,-1.1403775913120997
Italy__365_RR,-1.5530070270970493,1.049060945612195,-0.3841616719455178,0.27000794629967967
Italy__366_FL,0.9100487966305758,6.3363910993777575,0.22511544453157276,1.630864207509079
Italy__366_FR,3.88123115501435,7.1805552359721965,0.9600859646491285,1.848135688079442
Italy__366_RL,0.12743941002813278,0.221155612637606,0.031524221058851956,0.05692116652582152
Italy__366_RR,3.132424969734421,6.976719064131494,0.7748565155345327,1.795672209793937
Manitoba__MB001,-10.220078139145286,2.978982657445702,-2.5281033741919696,0.7667323740947065
Manitoba__MB002,-0.9248906732615946,4.59727342723131,-0.22878682530570815,1.1832490398738813
Manitoba__MB003,-3.871611766784537,-2.0424979472456917,-0.9577064517422451,-0.5256993679573972
Manitoba__MB004,-2.0131707364526896,-4.538089884514899,-0.4979906867988209,-1.168016343536804
Manitoba__MB005,-7.79344615130338,-1.0165299473423006,-1.927836288866304,-0.26163509811514746
Manitoba__MB006,-4.511165855457226,2.187146625509989,-1.1159106090430342,0.5629291330310693
Manitoba__MB007,-4.026527713401693,-3.308998577434075,-0.9960274432284931,-0.8516720729510586
Manitoba__MB008,-1.0111737121605893,-3.233660462647272,-0.2501303452677119,-0.8322815029972763
Manitoba__MB009,-5.06520355220278,-0.01323036360375254,-1.2529608890411008,-0.0034052390572623017
Manitoba__MB010,7.829458340887801,-0.04582260266282646,1.9367444925767732,-0.011793849433481468
Manitoba__MB011,1.6443019909195942,-0.7162724943923804,0.4067449734569299,-0.18435465166323042
Manitoba__MB012,8.6116069446231709,-4.344870761752301,2.130221733875859,-1.1182854878213528
Manitoba__MB013,-5.920191585119095,4.844180746764987,-1.4644561537035548,1.246798196433839
Manitoba__MB014,-1.0275093408062184,-1.3383208617233955,-0.2541712300179351,-0.3444578400095488
Manitoba__MB015,2.7503587392129476,-0.4439994514443787,0.6803461885687818,-0.11427684973318801
Manitoba__MB016,6.648968956468861,-0.5038204294113101,1.6447311483229383,-0.12967360954399548
Manitoba__MB017,-7.198135696101153,3.4862909910734143,-1.7805765174635806,0.8973037025541758
Manitoba__MB018,3.567450057825718,-2.3879661186291385,0.8824670815290646,-0.6146161767064979
Manitoba__MB019,1.078719660993754,-1.6095732830121365,0.26683893974548395,-0.41427295371416584
Manitoba__MB020,4.189754932308049,-5.775396836371327,1.0364043637626488,-1.4864751617879322
Manitoba__MB021,-5.212461236122481,4.260974007466024,-1.289387484075356,1.0966920900108692
Manitoba__MB022,3.960327521028283,1.6492835960318741,0.9796517436073382,0.4244936183097007
Manitoba__MB023,1.9043255039831177,-1.8334909224355127,0.4710660394796325,-0.4719050123794476
Manitoba__MB024,4.507095500956383,-2.784742281774147,1.114903740327586,-0.7167386676823978
Manitoba__MB025,3.943375438307305,4.596987268919065,0.9754583688656779,1.1831753882728668
Manitoba__MB026,2.7871346647135082,6.271149720416832,0.6894433148413188,1.6140723415830067
Manitoba__MB027,2.7323511166651953,-0.40922778721743913,0.675891708798243,-0.10532729757741777
Manitoba__MB028,6.31193751316991,-1.7342481522389523,1.5613609120671785,-0.44636184763011366
Manitoba__MB029,-3.6716007237448762,3.2084901249940287,-0.9082304510796407,0.8258031461336001
