term,Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
(Intercept),(Intercept),0.5545497732392931,0.025919913302440506,0,21.394738738847522,3.752302568159278,4.639087085571438e-5
z_PC1,z_PC1,0.014714708562794533,0.08724023125911251,0,0.16866883948404868,3.7980122705534973,0.8746553806837223
z_PC2,z_PC2,0.07744294510648396,0.04611350670018116,0,1.679398307528404,3.272051710995462,0.184035482338742
studyManitoba,studyManitoba,-0.10685235608592933,0.03421643365427494,0,-3.122837323304131,8.559669222402933,0.013032875655331642
z_PC1:studyManitoba,z_PC1:studyManitoba,-0.06406167790381515,0.08914239452210514,0,-0.7186443470276022,4.069241530469207,0.5114654142077453
z_PC2:studyManitoba,z_PC2:studyManitoba,-0.07137658518118875,0.05230688377632196,0,-1.364573456266557,6.503897732159117,0.21771562747940099
