study,term,estimate,naive_SE,naive_p,trajectories,cows,Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
Italy,z_PC1,0.014714708562794814,0.08491178628406632,0.864466938052398,20,5,z_PC1,0.014714708562794814,0.08724023125911258,0,0.16866883948405176,3.7980122705534947,0.8746553806837201
Italy,z_PC2,0.07744294510648388,0.03398402893556385,0.03587098881122856,20,5,z_PC2,0.07744294510648388,0.046113506700181266,0,1.6793983075283985,3.272051710995458,0.18403548233874326
Manitoba,z_PC1,-0.04934696934102059,0.021679998617203582,0.03131115158755173,29,9,z_PC1,-0.04934696934102059,0.018316892503675533,0,-2.694068840067629,5.958831213964829,0.03610230252845842
Manitoba,z_PC2,0.006066359925295207,0.032748730529905026,0.8544786268610765,29,9,z_PC2,0.006066359925295207,0.024689159366045706,0,0.24570945633888605,5.948954789815395,0.8141643675770597
