term,Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
(Intercept),(Intercept),0.5545497732392931,0.014422479825494394,0,38.45037607603542,3.911259410691127,3.434273998419679e-6
z_PC1,z_PC1,-0.02863653451732752,0.01640897560777913,0,-1.745175031142808,7.092069077565938,0.12391053904271236
z_PC2,z_PC2,0.06221261073241799,0.015169001953135256,0,4.101298880745372,8.488675245821389,0.0030244591526049987
studyManitoba,studyManitoba,-0.10685235608592933,0.029937134128593165,0,-3.569224616723546,8.800101080742646,0.006253519502215682
