sample_number,run_accession,sample_accession,secondary_sample_accession,experiment_accession,sample_alias,sample_title,cow_id,quarter,anatomical_code,treatment,timepoint,phase,fastq_r1,fastq_r2
17,ERR4153689,SAMEA6838743,ERS4566353,ERX4119439,365_S17,365_S17,365,FL,AS,untreated_control,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153689/ERR4153689_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/009/ERR4153689/ERR4153689_2.fastq.gz
18,ERR4153690,SAMEA6838744,ERS4566354,ERX4119440,365_S18,365_S18,365,FR,AD,teat_sealant,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153690/ERR4153690_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153690/ERR4153690_2.fastq.gz
19,ERR4153691,SAMEA6838745,ERS4566355,ERX4119441,365_S19,365_S19,365,RR,PD,cephalonium,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153691/ERR4153691_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153691/ERR4153691_2.fastq.gz
20,ERR4153692,SAMEA6838746,ERS4566356,ERX4119442,365_S20,365_S20,365,RL,PS,cloxacillin,T1,dry_off_baseline,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153692/ERR4153692_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/002/ERR4153692/ERR4153692_2.fastq.gz
21,ERR4153693,SAMEA6838747,ERS4566357,ERX4119443,270_S21,270_S21,270,FL,AS,untreated_control,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153693/ERR4153693_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153693/ERR4153693_2.fastq.gz
22,ERR4153694,SAMEA6838748,ERS4566358,ERX4119444,270_S22,270_S22,270,FR,AD,teat_sealant,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153694/ERR4153694_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153694/ERR4153694_2.fastq.gz
23,ERR4153695,SAMEA6838749,ERS4566359,ERX4119445,270_S23,270_S23,270,RR,PD,cephalonium,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153695/ERR4153695_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153695/ERR4153695_2.fastq.gz
24,ERR4153696,SAMEA6838750,ERS4566360,ERX4119446,270_S24,270_S24,270,RL,PS,cloxacillin,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153696/ERR4153696_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153696/ERR4153696_2.fastq.gz
25,ERR4153697,SAMEA6838751,ERS4566361,ERX4119447,355_S25,355_S25,355,FL,AS,untreated_control,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153697/ERR4153697_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153697/ERR4153697_2.fastq.gz
26,ERR4153698,SAMEA6838752,ERS4566362,ERX4119448,355_S26,355_S26,355,FR,AD,teat_sealant,T2,calving,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153698/ERR4153698_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153698/ERR4153698_2.fastq.gz
