run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	study_title	study_alias	experiment_alias	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
ERR4153675	PRJEB38332	ERP121748	SAMEA6838729	ERS4566339	ERX4119425	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153675/ERR4153675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153675/ERR4153675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153675/270PD_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153675/270PD_S3_L001_R2_001.fastq.gz	270PD_S3	270PD_S3	
ERR4153680	PRJEB38332	ERP121748	SAMEA6838734	ERS4566344	ERX4119430	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153680/ERR4153680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/000/ERR4153680/ERR4153680_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153680/355_S8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153680/355_S8_L001_R2_001.fastq.gz	355_S8	355_S8	
ERR4153681	PRJEB38332	ERP121748	SAMEA6838735	ERS4566345	ERX4119431	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153681/ERR4153681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/001/ERR4153681/ERR4153681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153681/366_S9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153681/366_S9_L001_R2_001.fastq.gz	366_S9	366_S9	
ERR4153683	PRJEB38332	ERP121748	SAMEA6838737	ERS4566347	ERX4119433	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153683/ERR4153683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/003/ERR4153683/ERR4153683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153683/366_S11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153683/366_S11_L001_R2_001.fastq.gz	366_S11	366_S11	
ERR4153684	PRJEB38332	ERP121748	SAMEA6838738	ERS4566348	ERX4119434	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153684/ERR4153684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/004/ERR4153684/ERR4153684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153684/366_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153684/366_S12_L001_R2_001.fastq.gz	366_S12	366_S12	
ERR4153686	PRJEB38332	ERP121748	SAMEA6838740	ERS4566350	ERX4119436	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153686/ERR4153686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153686/ERR4153686_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153686/321_S14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153686/321_S14_L001_R2_001.fastq.gz	321_S14	321_S14	
ERR4153687	PRJEB38332	ERP121748	SAMEA6838741	ERS4566351	ERX4119437	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153687/ERR4153687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/007/ERR4153687/ERR4153687_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153687/321_S15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153687/321_S15_L001_R2_001.fastq.gz	321_S15	321_S15	
ERR4153688	PRJEB38332	ERP121748	SAMEA6838742	ERS4566352	ERX4119438	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:939-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153688/ERR4153688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/008/ERR4153688/ERR4153688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153688/321_S16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153688/321_S16_L001_R2_001.fastq.gz	321_S16	321_S16	
ERR4153695	PRJEB38332	ERP121748	SAMEA6838749	ERS4566359	ERX4119445	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153695/ERR4153695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/005/ERR4153695/ERR4153695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153695/270_S23_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153695/270_S23_L001_R2_001.fastq.gz	270_S23	270_S23	
ERR4153696	PRJEB38332	ERP121748	SAMEA6838750	ERS4566360	ERX4119446	1616037	milk metagenome	Cow milk microbiota composition from 16S rRNA-gene sequencing: different dry-cow therapy treatments (two antibiotics, teat sealant, controls)	ena-STUDY-CNR-15-05-2020-13:50:32:549-515	ena-EXPERIMENT-CNR-15-05-2020-19:10:00:940-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153696/ERR4153696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR415/006/ERR4153696/ERR4153696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153696/270_S24_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR415/ERR4153696/270_S24_L001_R2_001.fastq.gz	270_S24	270_S24	
