study,PC2_tertile,n,mean,se
Italy,Low,7,0.4224397703658909,0.04135281009030351
Italy,Intermediate,7,0.6000066875257402,0.0269450447196509
Italy,High,6,0.6556450432574071,0.04610371811522478
Manitoba,Low,10,0.40221262401557156,0.04379878621693201
Manitoba,Intermediate,9,0.44941655778387024,0.058622187143281906
Manitoba,High,10,0.4916349837236999,0.036604105566047235
