study,PC2_tertile,family,PC2_loading,PC2_side,n_quarters,prevalence,median_relative_abundance,mean_relative_abundance,q25_relative_abundance,q75_relative_abundance
Italy,High_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,6,0,0,0,0,0
Italy,High_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,6,0.5,1.6666666666666666e-4,0.0013333333333333333,0,0.002833333333333333
Italy,High_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,6,0.6666666666666666,5e-4,0.0017777777777777776,8.333333333333333e-5,0.0034166666666666664
Italy,High_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,6,0.5,5e-4,6.666666666666666e-4,0,0.00125
Italy,High_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,6,0.3333333333333333,0,0.005055555555555555,0,0.00125
Italy,High_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,6,1,0.04016666666666667,0.042666666666666665,0.036250000000000004,0.049833333333333334
Italy,High_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,6,1,0.004,0.007555555555555556,0.0025,0.008
Italy,High_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,6,0,0,0,0,0
Italy,High_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,6,0,0,0,0,0
Italy,High_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,6,0.5,1.6666666666666666e-4,0.0010555555555555557,0,8.333333333333334e-4
Italy,High_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,6,1,0.09366666666666666,0.09694444444444444,0.08574999999999999,0.11308333333333333
Italy,High_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,6,1,0.2576666666666667,0.25172222222222224,0.24408333333333337,0.26375000000000004
Italy,High_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,6,0.6666666666666666,0.0015,0.0012777777777777779,2.5e-4,0.0022500000000000003
Italy,High_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,6,0.3333333333333333,0,4.4444444444444447e-4,0,2.5e-4
Italy,High_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,6,1,0.0021666666666666666,0.0025555555555555557,0.0010833333333333333,0.004
Italy,High_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,6,0,0,0,0,0
Italy,High_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,6,1,0.19833333333333333,0.19127777777777777,0.16625,0.21991666666666665
Italy,High_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,6,0.3333333333333333,0,6.111111111111111e-4,0,0.00125
Italy,High_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,6,0.3333333333333333,0,6.666666666666666e-4,0,0.001
Manitoba,Low_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,10,0,0,0,0,0
Manitoba,Low_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,10,1,0.0265,0.0258,0.017833333333333333,0.02975
Manitoba,Low_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,10,1,0.026000000000000002,0.025066666666666668,0.018583333333333334,0.0295
Manitoba,Low_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,10,0.4,0,1.6666666666666666e-4,0,3.333333333333333e-4
Manitoba,Low_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,10,0.9,0.004833333333333334,0.0047666666666666664,0.0029166666666666672,0.0072499999999999995
Manitoba,Low_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,10,0.5,1.6666666666666666e-4,0.0012000000000000001,0,3.333333333333333e-4
Manitoba,Low_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,10,0.3,0,1.3333333333333334e-4,0,2.5e-4
Manitoba,Low_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,10,1,0.0125,0.014666666666666666,0.003916666666666666,0.020916666666666667
Manitoba,Low_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,10,0.2,0,6.666666666666667e-5,0,0
Manitoba,Low_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,10,0.2,0,1.6666666666666666e-4,0,0
Manitoba,Low_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,10,0.9,0.021666666666666667,0.023566666666666666,0.017,0.028833333333333332
Manitoba,Low_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,10,0.9,0.0013333333333333333,0.001966666666666667,7.5e-4,0.0022500000000000003
Manitoba,Low_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,10,1,0.0055,0.007066666666666666,0.0015,0.010666666666666668
Manitoba,Low_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,10,1,0.018166666666666664,0.0179,0.011833333333333333,0.02125
Manitoba,Low_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,10,1,0.0018333333333333335,0.0025666666666666667,0.0016666666666666668,0.0023333333333333335
Manitoba,Low_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,10,0.9,0.007833333333333333,0.0082,0.0045,0.01325
Manitoba,Low_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,10,0.9,0.0021666666666666666,0.002,0.0013333333333333333,0.0025833333333333333
Manitoba,Low_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,10,1,0.0013333333333333333,0.0024333333333333334,0.0013333333333333333,0.0020833333333333337
Manitoba,Low_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,10,1,0.004666666666666666,0.0062,0.004083333333333333,0.0085
Manitoba,Low_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,10,0.9,0.0023333333333333335,0.002466666666666667,0.00175,0.0032500000000000003
Manitoba,Mid_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,9,0,0,0,0,0
Manitoba,Mid_PC2,Anaerovoracaceae,-0.15292924660746315,Negative_PC2,9,1,0.028666666666666667,0.027703703703703703,0.024333333333333332,0.035
Manitoba,Mid_PC2,Bacteroidaceae,-0.1643881454753317,Negative_PC2,9,1,0.021666666666666667,0.021666666666666667,0.012,0.025666666666666667
Manitoba,Mid_PC2,Beijerinckiaceae,0.1363518196257099,Positive_PC2,9,0.4444444444444444,0,2.962962962962963e-4,0,6.666666666666666e-4
Manitoba,Mid_PC2,Caulobacteraceae,-0.16235408323582468,Negative_PC2,9,0.5555555555555556,0.0036666666666666666,0.005333333333333333,0,0.010333333333333333
Manitoba,Mid_PC2,Enterobacteriaceae,0.11127004664285554,Positive_PC2,9,0.6666666666666666,6.666666666666666e-4,0.001074074074074074,0,0.002
Manitoba,Mid_PC2,Lactobacillaceae,0.2011501678617839,Positive_PC2,9,0.7777777777777778,3.333333333333333e-4,9.25925925925926e-4,3.333333333333333e-4,0.0016666666666666668
Manitoba,Mid_PC2,Lysobacteraceae,0.10312284500159698,Positive_PC2,9,1,0.010666666666666666,0.011592592592592592,0.007666666666666666,0.015
Manitoba,Mid_PC2,Methylophilaceae,0.1016032127590518,Positive_PC2,9,0.3333333333333333,0,2.5925925925925926e-4,0,3.333333333333333e-4
Manitoba,Mid_PC2,Mycobacteriaceae,0.1290880481565365,Positive_PC2,9,0.6666666666666666,0.001,0.001037037037037037,0,0.0013333333333333333
Manitoba,Mid_PC2,Paracoccaceae,-0.29481359935087703,Negative_PC2,9,0.7777777777777778,0.005333333333333333,0.011518518518518518,0.0016666666666666668,0.019333333333333334
Manitoba,Mid_PC2,Propionibacteriaceae,0.1503708374150297,Positive_PC2,9,1,0.0023333333333333335,0.0034444444444444444,0.0013333333333333333,0.003
Manitoba,Mid_PC2,Pseudomonadaceae,0.1613371458129849,Positive_PC2,9,1,0.016,0.013481481481481481,0.0036666666666666666,0.017666666666666667
Manitoba,Mid_PC2,Ruminococcaceae,-0.1404108264615202,Negative_PC2,9,1,0.011333333333333334,0.014037037037037037,0.006666666666666667,0.013666666666666667
Manitoba,Mid_PC2,Saccharimonadaceae,-0.1796883992639053,Negative_PC2,9,1,0.0013333333333333333,0.0022592592592592595,3.333333333333333e-4,0.0023333333333333335
Manitoba,Mid_PC2,Sphingomonadaceae,-0.1340996433349894,Negative_PC2,9,0.6666666666666666,0.005666666666666667,0.005962962962962963,0,0.009
Manitoba,Mid_PC2,Spirochaetaceae,-0.14286470854826516,Negative_PC2,9,0.7777777777777778,0.0016666666666666668,0.002,6.666666666666666e-4,0.0023333333333333335
Manitoba,Mid_PC2,Streptococcaceae,0.11347644255034132,Positive_PC2,9,0.8888888888888888,0.003,0.004222222222222222,0.002,0.005
Manitoba,Mid_PC2,Succinivibrionaceae,-0.15229102363512845,Negative_PC2,9,0.8888888888888888,0.0023333333333333335,0.002777777777777778,6.666666666666666e-4,0.004333333333333333
Manitoba,Mid_PC2,Unclassified_Clostridia UCG-014,-0.1380193446570719,Negative_PC2,9,1,0.002,0.003037037037037037,6.666666666666666e-4,0.005
Manitoba,High_PC2,Alcanivoracaceae1,0.14685328113947216,Positive_PC2,10,0.1,0,1e-4,0,0
