study,PC2_tertile,n,mean_resistance,sd_resistance,median_resistance,mean_displacement
Italy,Low_PC2,7,0.4224397703658909,0.10940925151262555,0.4519401062630817,0.5775602296341091
Italy,Mid_PC2,7,0.6000066875257402,0.0712898873937104,0.6023037284025462,0.39999331247425984
Italy,High_PC2,6,0.6556450432574071,0.1129305846274101,0.6576069446451414,0.3443549567425929
Manitoba,Low_PC2,10,0.40221262401557156,0.13850392319629484,0.4039738764990424,0.5977873759844284
Manitoba,Mid_PC2,9,0.44941655778387024,0.17586656142984572,0.4635451505016722,0.5505834422161298
Manitoba,High_PC2,10,0.4916349837236999,0.1157523453019562,0.5077119253191118,0.5083650162763
