study,trajectory_global,cow_global,cow_id,quarter,z_PC2,ecological_resistance,bray_displacement,PC2_tertile
Italy,Italy__270_FL,Italy__270,270,FL,0.40548156477801345,0.6840829096597576,0.31591709034024246,Mid_PC2
Italy,Italy__270_FR,Italy__270,270,FR,-1.472631414207333,0.4796960341961529,0.5203039658038471,Low_PC2
Italy,Italy__270_RL,Italy__270,270,RL,-1.552245764373754,0.4519401062630817,0.5480598937369183,Low_PC2
Italy,Italy__270_RR,Italy__270,270,RR,-1.5959413857031977,0.4578813018506701,0.5421186981493299,Low_PC2
Italy,Italy__321_FL,Italy__321,321,FL,-0.22923198897578245,0.5853889195366064,0.4146110804633935,Mid_PC2
Italy,Italy__321_FR,Italy__321,321,FR,1.5236486059343188,0.7462355365351085,0.2537644634648914,High_PC2
Italy,Italy__321_RL,Italy__321,321,RL,-1.155306489070217,0.3915653135365661,0.6084346864634339,Low_PC2
Italy,Italy__321_RR,Italy__321,321,RR,0.12441564678080784,0.6911028580655578,0.3088971419344421,Mid_PC2
Italy,Italy__355_FL,Italy__355,355,FL,-1.8484860841483977,0.31692772521268986,0.6830722747873101,Low_PC2
Italy,Italy__355_FR,Italy__355,355,FR,-0.38012640643680057,0.5167433740676084,0.48325662593239166,Mid_PC2
Italy,Italy__355_RL,Italy__355,355,RL,-0.6157392052674786,0.5942017660389154,0.4057982339610846,Low_PC2
Italy,Italy__355_RR,Italy__355,355,RR,-0.19821364431789576,0.6023037284025462,0.3976962715974538,Mid_PC2
Italy,Italy__365_FL,Italy__365,365,FL,1.5125231256390366,0.6410316898639616,0.35896831013603836,High_PC2
Italy,Italy__365_FR,Italy__365,365,FR,1.0206298124728188,0.6683760683760684,0.3316239316239316,High_PC2
Italy,Italy__365_RL,Italy__365,365,RL,-1.1403775913120997,0.26486614546316034,0.7351338545368397,Low_PC2
Italy,Italy__365_RR,Italy__365,365,RR,0.27000794629967967,0.6092394278120847,0.39076057218791527,Mid_PC2
Italy,Italy__366_FL,Italy__366,366,FL,1.630864207509079,0.4545817687944396,0.5454182312055604,High_PC2
Italy,Italy__366_FR,Italy__366,366,FR,1.848135688079442,0.7768073750606501,0.22319262493934983,High_PC2
Italy,Italy__366_RL,Italy__366,366,RL,0.05692116652582152,0.51118559513602,0.48881440486398,Mid_PC2
Italy,Italy__366_RR,Italy__366,366,RR,1.795672209793937,0.6468378209142142,0.35316217908578584,High_PC2
Manitoba,Manitoba__MB001,Manitoba__1369,1369,LR,0.7667323740947065,0.5031677225741914,0.4968322774258086,High_PC2
